(0.064524,-0.044101),(0.002197,0.044016)
(-0.021679,0.064927),(-0.225001,-0.016558)
(-0.177788,0.086452),(0.100134,-0.023495)
(0.171107,0.010899),(-0.046484,-0.021912)
(-0.075427,-0.138158),(0.180552,0.059863)
(0.133185,0.003989),(-0.024464,-0.067034)
(-0.086230,0.052379),(-0.035659,-0.120553)
(0.018276,-0.120410),(0.021436,0.097153)
(-0.139557,-0.002829),(-0.023794,0.098807)
(0.012421,-0.131344),(-0.024013,-0.026101)
(0.058758,0.112821),(-0.131991,-0.211820)
(0.015081,-0.074600),(0.119103,0.167483)
(0.122111,0.158794),(-0.083736,0.173322)
(-0.082109,-0.033919),(0.078930,-0.139937)
(0.065443,-0.057186),(-0.085551,-0.085824)
(0.103890,0.073724),(-0.046411,0.011361)
(-0.238034,0.149225),(0.075027,0.116964)
(0.188134,0.131574),(0.093474,-0.166312)
(-0.067110,0.037054),(0.132254,-0.006578)
(0.099238,0.137072),(-0.068882,0.042403)
(-0.061415,0.143249),(0.080248,0.023372)
(-0.039052,-0.168865),(0.006283,-0.003918)
(0.064139,-0.052344),(-0.036922,-0.068574)
(0.208219,0.055813),(0.095204,0.016156)
(0.099703,0.244230),(0.012588,0.049893)
(0.069150,-0.144860),(-0.001501,0.011515)
(0.151522,-0.187212),(-0.054199,-0.010067)
(0.019180,0.035765),(0.024527,-0.004955)
(0.133790,-0.121112),(-0.003530,0.010723)
(-0.177961,-0.107168),(-0.071395,0.087030)
(0.000745,-0.158280),(0.054390,-0.064665)
(0.008193,-0.058871),(0.064631,0.009967)
(-0.025633,-0.170708),(0.011897,0.007130)
(0.053930,-0.118042),(-0.020882,-0.051816)
(-0.219850,0.003186),(-0.067064,0.012120)
(-0.069187,-0.011949),(0.064822,0.101432)
(0.009578,0.042255),(-0.019592,-0.003952)
(-0.087416,-0.126904),(0.013657,0.018109)
(-0.037511,0.064213),(0.059668,0.054233)
(-0.124692,-0.152040),(-0.013382,0.013046)
(-0.169140,0.191985),(0.024739,0.061147)
(0.003286,0.259408),(-0.137091,-0.027423)
(0.349674,-0.011279),(0.021136,-0.012581)
(0.035312,0.098578),(0.055743,-0.005591)
(0.044264,0.143716),(-0.017948,-0.005810)
(0.082563,0.225040),(-0.014182,0.030340)
(-0.134841,0.006614),(0.051260,0.023372)
(-0.130972,0.046800),(0.024172,-0.032710)
(-0.085394,0.070522),(-0.058324,-0.011037)
(-0.091285,-0.090549),(0.043560,-0.031604)
(-0.015756,-0.150557),(-0.038511,-0.014807)
(0.005578,0.115038),(0.043807,0.019309)
(0.120706,0.185911),(0.055593,-0.040083)
(0.014030,0.026746),(0.001938,-0.026426)
(-0.020354,-0.092765),(0.008638,0.000748)
(-0.020163,0.060301),(0.052790,-0.060953)
(0.078653,-0.025518),(0.016068,-0.004444)
(-0.009245,-0.073703),(-0.002291,0.001315)
(-0.211709,0.025386),(-0.019395,0.026235)
(-0.037262,-0.006186),(0.014003,0.002952)
(-0.084577,-0.098406),(-0.015326,0.010220)
(0.051365,0.178411),(0.021027,-0.017599)
(-0.003602,0.085064),(-0.004109,0.001767)
(-0.121416,0.038986),(-0.017076,0.004945)
(0.101851,0.004151),(-0.000307,-0.011074)
(-0.069162,-0.076183),(-0.023967,-0.010594)
(0.038697,0.004118),(-0.005941,-0.014170)
(-0.035357,0.049308),(0.006597,0.021124)
(0.052015,-0.054587),(-0.016784,0.003595)
(-0.049664,0.157699),(-0.020826,-0.026379)
(0.116613,0.089573),(-0.004670,0.014831)
(-0.060501,0.085620),(-0.007523,0.036255)
(0.036370,-0.034493),(0.006263,-0.002882)
(-0.055483,0.003324),(0.013314,-0.012526)
(0.071044,0.064402),(0.034168,-0.020554)
(-0.094136,-0.027815),(-0.055065,0.010138)
(-0.029785,0.004140),(-0.010972,-0.040101)
(0.075280,0.092267),(0.034415,-0.011287)
(0.032103,0.114039),(-0.029092,0.005038)
(0.066479,-0.097882),(-0.010254,0.004369)
(0.035852,-0.013060),(0.003700,-0.005588)
(-0.090673,-0.000293),(0.002955,-0.015901)
(0.109070,0.092697),(-0.016890,-0.030457)
(-0.034006,0.005226),(-0.020566,0.001332)
(0.068944,-0.079227),(0.050515,0.037178)
(-0.017056,0.085191),(0.001505,0.040034)
(0.001842,-0.119482),(0.019428,-0.009715)
(-0.203542,-0.107435),(-0.003412,0.006479)
(0.051890,-0.101218),(-0.027204,-0.001168)
(0.029043,0.021265),(-0.054472,0.005115)
(-0.135895,0.038649),(-0.046087,-0.023946)
(0.008160,-0.051156),(0.021424,0.044522)
(-0.172649,-0.103294),(0.024267,0.019652)
(-0.128578,-0.060553),(-0.032984,0.028882)
(-0.004218,0.147375),(0.022534,-0.045457)
(-0.050825,-0.050341),(0.035233,-0.020632)
(-0.017028,-0.093140),(-0.009698,0.007107)
(-0.033006,0.005947),(-0.015937,0.013567)
(0.106155,0.080947),(-0.024280,0.094699)
(-0.116089,-0.082927),(0.057346,-0.047779)
(0.140032,-0.009587),(0.016248,0.040473)
(0.091480,-0.035729),(-0.047917,0.009546)
(-0.038589,0.032278),(0.046990,0.006144)
(-0.019864,0.085445),(0.012494,-0.031999)
(0.006069,0.078249),(0.032698,0.008375)
(0.031713,0.001098),(-0.033853,0.004566)
(0.044136,-0.036024),(-0.019743,-0.012014)
(0.003618,-0.034575),(-0.025622,0.016860)
(0.104978,0.033041),(-0.021188,-0.035655)
(0.024615,0.026800),(-0.048278,0.005010)
(-0.060868,-0.017530),(-0.032731,0.031795)
(0.013593,0.021082),(0.030921,-0.016930)
(0.052746,-0.118389),(0.043193,-0.007149)
(0.072607,0.004136),(-0.008616,-0.030557)
(-0.043995,0.082066),(-0.022298,0.004052)
(-0.095357,-0.032290),(0.047271,-0.000577)
(0.077323,-0.035584),(0.028211,-0.046517)
(-0.095929,-0.046893),(-0.017566,0.011436)
(-0.015256,-0.044443),(0.008748,-0.058312)
(0.031354,-0.082035),(-0.015099,0.009223)
(-0.037867,0.013481),(-0.010048,-0.022006)
(-0.019855,-0.121964),(-0.079799,-0.000886)
(0.087912,0.091247),(0.056979,0.093918)
(0.065464,-0.003526),(0.026838,-0.007547)
(-0.054216,-0.016785),(0.019212,0.007090)
(0.063053,0.046595),(0.047733,0.077904)
(-0.091168,-0.016536),(-0.024152,-0.009115)
(-0.067604,-0.000928),(-0.068798,-0.025994)
(0.010491,-0.114465),(0.015087,0.106395)
(-0.114070,0.009429),(-0.008994,0.027237)
(0.097500,0.081276),(0.016554,-0.040640)
(0.061792,-0.062117),(0.076786,0.031736)
(-0.007638,-0.064897),(0.040751,-0.052403)
(0.034939,0.106736),(0.018982,0.022538)
(-0.022823,-0.026665),(-0.066753,-0.059949)
(-0.058836,-0.023116),(0.049068,-0.018521)
(-0.044526,-0.012246),(-0.045907,-0.061234)
(0.083276,0.080608),(-0.024321,-0.086900)
(-0.020484,-0.025156),(-0.094479,-0.022373)
(-0.040836,0.016041),(-0.027975,0.018449)
(-0.099749,-0.028337),(-0.031434,0.008895)
(0.053248,0.107144),(-0.028262,-0.035122)
(0.032590,-0.074012),(0.080137,0.047837)
(-0.078350,-0.003162),(-0.066165,-0.022744)
(-0.027944,0.080928),(-0.029476,-0.109765)
(-0.005207,0.037583),(-0.096861,-0.027215)
(-0.065773,-0.031560),(0.002536,0.020417)
(-0.006758,0.051491),(-0.020267,0.065005)
(0.052181,-0.060764),(0.008115,-0.023161)
(-0.028017,-0.031327),(-0.065487,0.151666)
(-0.012293,0.001983),(0.031925,0.001060)
(-0.021006,0.070474),(0.008413,-0.061683)
(-0.049530,0.028094),(-0.023372,-0.047341)
(-0.004071,0.056309),(-0.026303,0.025604)
(-0.048151,-0.025624),(-0.070833,0.002537)
(0.027882,-0.027060),(0.049480,-0.021137)
(0.021989,0.013105),(-0.057760,0.112750)
(-0.025274,-0.040543),(-0.010720,0.072400)
(0.087660,-0.038156),(-0.053822,-0.036875)
(0.025405,0.024851),(0.006554,-0.026423)
(0.024511,0.051997),(0.053121,-0.012367)
(-0.017479,-0.053408),(0.033182,-0.059931)
(0.022151,-0.017737),(0.032095,0.017647)
(0.053142,-0.014964),(-0.072845,0.022320)
(0.001722,-0.004944),(0.079153,0.038241)
(-0.118181,0.000989),(0.053141,0.051214)
(0.011141,-0.002916),(-0.016287,-0.147539)
(0.005979,-0.008492),(-0.048818,0.147615)
(0.028833,-0.064320),(-0.254715,0.135645)
(-0.007092,0.039346),(0.126694,0.039348)
(-0.048075,0.024949),(0.018653,-0.066992)
(0.081468,-0.045383),(-0.029708,-0.031526)
(-0.016333,0.027683),(-0.081227,0.019128)
(-0.070904,0.007469),(-0.073176,-0.061482)
(0.050157,0.032858),(-0.073722,0.014415)
(-0.055797,-0.000804),(0.015289,-0.017417)
(0.087456,-0.088550),(0.047316,-0.040530)
(0.002169,-0.018240),(0.002974,0.001751)
(-0.082948,-0.047373),(0.002146,-0.009048)
(-0.012485,0.099878),(0.035127,0.079656)
(-0.040155,0.008636),(0.047033,-0.009256)
(0.030180,0.039021),(-0.026931,-0.013970)
(0.014167,0.020032),(-0.030603,-0.004235)
(0.021150,0.045421),(0.029297,0.019717)
(-0.007926,-0.031444),(0.058942,-0.045476)
(0.006891,-0.056990),(-0.015993,-0.029200)
(-0.096042,-0.015970),(-0.047534,0.030014)
(-0.030910,0.007349),(0.006459,0.018269)
(-0.043006,0.014274),(0.004644,-0.000917)
(0.063247,0.035332),(-0.016123,0.007989)
(-0.002499,0.031698),(0.022823,0.015771)
(-0.056988,-0.015452),(-0.029738,-0.016171)
(0.006847,0.011878),(-0.021410,0.002816)
