(-0.064860,-0.024409),(-0.076039,0.075819)
(-0.075258,0.022880),(-0.100221,-0.079718)
(-0.102027,-0.002649),(-0.001358,0.009798)
(-0.044214,0.017469),(-0.099326,0.046974)
(-0.107246,0.060131),(-0.046297,-0.035846)
(0.099054,-0.053822),(0.096715,0.079334)
(-0.199844,-0.025333),(-0.123879,0.014887)
(-0.021845,-0.014519),(0.052781,-0.060156)
(0.128503,-0.101089),(0.000320,-0.039280)
(-0.039155,0.116273),(0.021366,-0.044187)
(0.034924,-0.029570),(-0.095847,-0.020092)
(0.124072,0.035702),(0.030234,-0.029777)
(0.082280,-0.000719),(0.127682,0.026055)
(-0.033432,-0.080404),(-0.046796,0.042114)
(0.017667,-0.166225),(-0.061122,-0.056442)
(0.220286,0.104094),(-0.007498,0.015967)
(-0.132692,0.025018),(0.032440,0.000079)
(0.024013,-0.134232),(-0.039084,0.000673)
(0.136314,0.105191),(-0.041879,-0.094894)
(-0.118699,0.012967),(-0.001527,0.051860)
(0.019140,-0.125550),(-0.011476,-0.027303)
(0.076200,0.105924),(0.035800,0.015164)
(-0.086965,-0.069715),(-0.057445,-0.021820)
(-0.008167,0.010053),(0.013512,-0.024927)
(-0.095849,0.159105),(-0.030228,0.004555)
(0.034637,0.013755),(-0.007791,-0.024019)
(-0.100446,0.105782),(-0.050885,0.024247)
(-0.056273,-0.088675),(0.042780,-0.046415)
(-0.054857,0.037591),(-0.000077,0.005115)
(-0.066115,0.018387),(0.028351,0.018907)
(0.067264,-0.097359),(0.006652,-0.100442)
(-0.029347,0.079049),(-0.059247,-0.000098)
(-0.101136,-0.088497),(-0.024354,0.023685)
(-0.001775,0.034921),(0.071342,-0.066033)
(0.060546,0.020109),(-0.088149,-0.025486)
(0.024609,0.088234),(-0.014679,-0.001415)
(-0.062733,-0.031205),(-0.024476,-0.035421)
(0.065849,-0.061695),(0.022492,-0.099124)
(0.026537,0.079676),(0.007136,-0.157295)
(-0.151956,0.050978),(-0.032991,-0.102762)
(0.012076,-0.076563),(0.022807,-0.094043)
(-0.017440,-0.015800),(-0.023069,-0.005205)
(0.050579,-0.079649),(-0.031538,-0.005018)
(0.146067,-0.136809),(-0.000268,0.057046)
(-0.020073,-0.004886),(0.019273,0.058593)
(-0.020568,-0.065692),(-0.031042,0.049359)
(0.032658,0.001921),(0.009456,0.044815)
(0.059960,-0.039069),(0.057224,-0.018688)
(-0.030067,0.007365),(0.026787,-0.036878)
(-0.022591,0.080743),(0.032066,0.019072)
(0.035787,-0.039873),(0.028899,-0.069817)
(-0.061631,0.044848),(-0.058539,-0.044017)
(-0.027304,-0.163090),(0.042132,-0.016473)
(-0.026377,-0.008477),(0.026638,0.029531)
(0.003202,0.043741),(-0.051559,0.053048)
(-0.004251,0.015820),(-0.031591,0.010978)
(-0.026041,0.094689),(0.019851,0.009504)
(-0.125067,-0.110274),(0.019769,-0.009843)
(-0.109324,-0.072151),(0.041087,0.040545)
(0.044497,0.013258),(-0.028756,-0.007687)
(-0.039074,-0.052274),(0.023265,-0.032761)
(-0.005577,-0.069713),(0.009668,-0.001012)
(0.081867,-0.021072),(0.031844,0.001901)
(0.022900,0.047043),(0.022369,0.030394)
(0.018472,0.125054),(-0.010237,-0.009216)
(-0.025542,-0.020926),(0.001314,-0.021337)
(0.118045,0.039450),(0.031063,-0.021371)
(0.052505,0.010965),(-0.025051,-0.031337)
(0.095290,-0.124157),(0.051126,0.007839)
(0.029907,0.077801),(0.004340,0.006036)
(-0.045703,-0.012066),(-0.013875,0.024465)
(0.032310,0.024203),(0.001404,-0.004163)
(-0.043454,0.001765),(-0.006453,0.025134)
(-0.048943,-0.040340),(0.009896,0.005815)
(-0.030321,-0.023242),(-0.006942,-0.019468)
(-0.022143,-0.133075),(0.014955,0.018747)
(-0.022031,-0.039394),(0.009229,0.009297)
(-0.088980,-0.004138),(-0.008941,-0.004330)
(0.039199,-0.006309),(-0.002039,0.036353)
(-0.165090,0.006261),(0.009623,-0.005410)
(-0.048619,-0.032092),(-0.003909,0.020918)
(0.046418,-0.035535),(0.018259,0.011106)
(0.059857,0.010157),(-0.003211,0.007268)
(0.110923,-0.022108),(0.010315,-0.006291)
(-0.006298,-0.004076),(0.020740,0.035686)
(-0.010314,-0.007442),(0.008103,-0.016392)
(0.069239,-0.015993),(-0.007938,0.007102)
(-0.031632,-0.016493),(-0.008075,0.015726)
(0.023977,0.032924),(0.007294,0.027752)
(0.013902,-0.056067),(0.045123,0.032441)
(0.085583,0.039432),(0.039538,0.077473)
(-0.004539,-0.071581),(0.044785,-0.026333)
(-0.043143,-0.069371),(0.035142,0.034362)
(-0.040466,0.048543),(0.062786,-0.005374)
(-0.012594,0.013026),(0.013653,0.029021)
(-0.092656,0.030282),(-0.032581,-0.000141)
(0.034632,-0.018801),(0.043497,0.014084)
(0.017590,0.131657),(0.016724,0.034790)
(0.005232,0.030464),(-0.064614,-0.011142)
(-0.086094,-0.001537),(-0.026301,0.031488)
(-0.094480,-0.001794),(-0.021996,0.012068)
(0.005758,0.077149),(-0.007902,0.011287)
(0.044290,0.006707),(-0.017380,0.054625)
(0.003647,0.060257),(0.022713,0.043516)
(0.047535,-0.117063),(-0.022201,-0.013306)
(-0.024388,0.013543),(0.069458,-0.014485)
(0.018965,0.019009),(0.047107,0.065296)
(0.035089,0.025942),(-0.042862,-0.024204)
(0.001358,-0.027341),(-0.016931,0.019351)
(0.040728,-0.050943),(-0.048733,0.029174)
(0.081178,-0.079249),(-0.014774,0.004177)
(-0.040425,-0.004308),(-0.007708,0.007950)
(0.001260,0.038452),(0.050825,0.044977)
(-0.021595,0.117733),(0.013149,-0.021104)
(-0.000101,-0.111292),(0.046399,0.029388)
(0.057206,0.081423),(-0.015737,0.012944)
(-0.092722,0.010119),(-0.053038,-0.048487)
(0.003142,0.000323),(-0.033061,-0.035229)
(0.079319,0.058692),(0.033698,-0.061039)
(0.002743,-0.012994),(0.008116,0.011824)
(-0.057767,-0.001439),(0.054606,-0.008263)
(-0.004965,-0.002673),(-0.033569,0.000198)
(0.048403,-0.044018),(0.052227,-0.007808)
(0.022874,-0.047548),(-0.016068,-0.022826)
(0.007698,-0.016885),(-0.012980,0.084327)
(0.042234,0.064795),(0.009161,0.076014)
(-0.033658,-0.017171),(0.004173,-0.055031)
(-0.050991,0.017074),(-0.057466,0.063180)
(-0.015580,0.015313),(-0.003189,0.000162)
(-0.046135,0.006974),(0.006103,-0.040219)
(-0.020292,0.024966),(0.009907,-0.025325)
(0.012640,0.005779),(-0.002652,-0.033133)
(-0.038592,0.052594),(0.060686,0.062429)
(0.004861,-0.036398),(-0.032756,-0.042175)
(-0.007666,-0.051346),(0.004585,0.007229)
(0.052378,-0.002622),(-0.057055,-0.024389)
(-0.091827,-0.015594),(-0.030373,-0.036034)
(-0.011505,0.018303),(-0.041369,0.051550)
(-0.030985,0.067971),(0.015539,-0.016858)
(-0.060821,0.029449),(-0.039495,-0.024466)
(-0.000848,-0.037046),(0.061218,-0.045014)
(-0.028968,0.030496),(-0.113122,0.017878)
(-0.079325,0.005086),(-0.004384,0.074335)
(0.035328,-0.028197),(-0.056748,0.004227)
(0.007576,-0.013879),(0.029722,-0.013761)
(-0.073036,0.029313),(0.099112,0.064928)
(-0.007610,-0.003217),(-0.028991,0.095461)
(-0.020208,0.029658),(-0.102025,0.037913)
(-0.026990,-0.061032),(0.011510,0.000512)
(0.006968,0.029120),(0.042852,0.075857)
(0.038474,-0.042315),(0.069458,-0.029088)
(-0.023490,0.035487),(-0.060639,-0.045742)
(-0.018457,-0.030188),(-0.047627,0.144942)
(0.014606,-0.027716),(-0.070948,-0.003215)
(0.041112,0.036671),(0.006021,-0.109673)
(-0.039776,-0.049603),(-0.077877,0.076355)
(0.019270,-0.016943),(-0.026018,-0.033292)
(0.048563,0.017303),(-0.016125,-0.092251)
(-0.015703,-0.004584),(0.043599,-0.020853)
(0.001920,0.013692),(0.011704,-0.010944)
(0.062202,0.019245),(-0.013094,0.061922)
(-0.021970,0.068722),(-0.009360,0.048487)
(-0.036330,-0.069881),(-0.051340,0.035906)
(0.014598,-0.007024),(-0.045336,-0.000430)
(0.008989,0.020528),(0.019092,0.003347)
(-0.016353,-0.005677),(-0.055416,0.040960)
(0.018159,0.025803),(0.091284,-0.047396)
(0.027178,0.004795),(-0.074646,0.006534)
(0.049591,0.042071),(0.065125,0.149503)
(0.012622,-0.049645),(-0.036475,-0.016398)
(-0.036828,0.039537),(-0.026748,0.110444)
(-0.001179,0.011894),(0.024097,0.080573)
(0.028693,-0.059915),(-0.090657,-0.034981)
(0.011203,0.051202),(0.021936,0.015327)
(-0.033389,0.008633),(-0.017114,0.055047)
(-0.009407,0.002772),(-0.020809,0.074311)
(0.020665,0.036202),(-0.053398,-0.013361)
(-0.022674,-0.024617),(-0.053108,0.016965)
(0.013086,0.033577),(-0.014729,0.019970)
(0.004691,0.010375),(-0.131188,-0.048988)
(0.013719,0.005509),(0.062139,0.024131)
(-0.004233,-0.000599),(0.001044,-0.054631)
(0.046712,-0.042198),(-0.051078,-0.063846)
(-0.003283,-0.011494),(0.028466,0.016313)
(0.015213,-0.034112),(0.023976,-0.022457)
(0.015749,-0.016765),(-0.033735,-0.042167)
(0.007491,0.022300),(-0.069241,0.031253)
(0.006183,-0.015898),(0.044981,0.012343)
(0.000447,0.022633),(-0.075429,-0.049246)
(0.039819,0.002030),(-0.049454,0.074409)
